strategy,lambda,total_packets_sent,total_packets_generated,total_bytes,avg_packet_size,packets_per_second,avg_transit_time
periodic,4.8,69,69,3530,51.15942028985507,0.6929999434831368,0.0004092753623188423
periodic,4.9,90,90,4700,52.22222222222222,0.9025408640560678,0.00041777777777763476
periodic,5.0,84,84,4663,55.51190476190476,0.8596755797550074,0.00044409523809502046
periodic,5.1,74,74,3776,51.027027027027025,0.7592514771953663,0.0004082162162165496
periodic,5.2,95,95,5129,53.98947368421052,0.9560024404109214,0.00043191578947345997
periodic,5.3,77,77,4116,53.45454545454545,0.7764657402586355,0.00042763636363635113
periodic,5.4,87,87,4758,54.689655172413794,0.8885330940150162,0.00043751724137965997
periodic,5.5,99,99,5179,52.313131313131315,0.9974052720177613,0.0004185050505046601
periodic,5.6,81,81,4452,54.96296296296296,0.8105797368722978,0.0004397037037033759
periodic,5.7,87,87,4562,52.4367816091954,0.8859764011595187,0.0004194942528735277
periodic,5.8,93,93,5446,58.55913978494624,0.9398989357965458,0.00046847311827930514
periodic,5.9,82,82,4670,56.951219512195124,0.8235086014980278,0.0004556097560974592
periodic,6.0,79,79,3940,49.87341772151899,0.7955169591613209,0.00039898734177189036
periodic,6.1,87,87,4758,54.689655172413794,0.8758361234744312,0.0004375172413795814
periodic,6.2,91,91,4965,54.56043956043956,0.9289854729788121,0.0004364835164838519
periodic,6.3,71,71,4283,60.32394366197183,0.7113717889249531,0.00048259154929600515
periodic,6.4,81,81,4161,51.370370370370374,0.8148502973869867,0.00041096296296338385
periodic,6.5,89,89,4777,53.674157303370784,0.8960715809214417,0.00042939325842702894
periodic,6.6,80,80,4233,52.9125,0.8230303070353304,0.0004232999999993799
periodic,6.7,77,77,3874,50.311688311688314,0.7865803789354074,0.00040249350649349805
periodic,6.8,82,82,4599,56.08536585365854,0.8391752908554398,0.00044868292682912235
periodic,6.9,89,89,4437,49.853932584269664,0.8915858143351111,0.00039883146067423204
periodic,7.0,90,90,4942,54.91111111111111,0.9016081302145093,0.0004392888888889941
periodic,7.1,89,89,4908,55.146067415730336,0.9011339919048338,0.0004411685393263929
periodic,7.2,98,98,5071,51.744897959183675,0.9887875633205038,0.0004139591836731334
periodic,7.3,93,93,5045,54.24731182795699,0.9530001235904291,0.00043397849462324927
periodic,7.4,95,95,5059,53.252631578947366,0.968310674077783,0.00042602105263096106
periodic,7.5,99,99,5619,56.75757575757576,0.9965346276981046,0.00045406060606041426
periodic,7.6,86,86,4515,52.5,0.8609305906167187,0.00042000000000007944
periodic,7.7,86,86,4394,51.093023255813954,0.8758860391458588,0.00040874418604663383
periodic,7.8,77,77,3926,50.98701298701299,0.774440460766246,0.000407896103895662
periodic,7.9,106,106,5936,56.0,1.0624191892908499,0.00044800000000001945
periodic,8.0,82,82,4793,58.451219512195124,0.8206943665063088,0.0004676097560971769
periodic,8.1,99,99,4921,49.707070707070706,0.991446604565411,0.0003976565656564165
periodic,8.2,84,84,4773,56.82142857142857,0.8402175307588347,0.0004545714285708156
periodic,8.3,90,90,5017,55.74444444444445,0.9022160192223685,0.00044595555555495045
periodic,8.4,72,72,3805,52.84722222222222,0.7284554181340389,0.00042277777777767055
periodic,8.5,100,100,5711,57.11,1.0150244954191776,0.0004568800000000468
periodic,8.6,87,87,4757,54.67816091954023,0.8721891180968733,0.0004374252873566712
periodic,8.7,97,97,5429,55.96907216494845,0.9730877277002888,0.00044775257731973677
periodic,8.8,85,85,5451,64.12941176470588,0.8696235504702111,0.0005130352941173578
periodic,8.9,89,89,4679,52.57303370786517,0.8970922557674234,0.00042058426966285275
periodic,9.0,87,87,4648,53.42528735632184,0.880222788263223,0.0004274022988503769
periodic,9.1,74,74,4365,58.986486486486484,0.761194524112628,0.0004718918918919502
periodic,9.2,87,87,5376,61.793103448275865,0.8854740724848122,0.0004943448275858042
periodic,9.3,80,80,4267,53.3375,0.8028822196782454,0.0004267000000003536
periodic,9.4,100,100,5176,51.76,1.0026158270413876,0.0004140799999998822
periodic,9.5,92,92,5060,55.0,0.9702543638058122,0.00044000000000005027
